"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.STA:CPI(5.0.0)","MNE.CPI._T.IX.A","OBS_VALUE","Montenegro","Consumer price index (CPI)","All Items","Index","Annual","Units","102.1023913631466","104.7685132890632","105.1473182069034","104.8785030946696","107.4069161280986","121.4131041158706","131.8361387668899","136.2351812495681","141.5478207845817"
"IMF.STA:CPI(5.0.0)","EGY.CPI._T.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","82.35832786208778","94.2191342667378","102.8428228046656","108.0311741971116","113.6639729926915","129.4583333333333","173.325","222.325","253.6139392548072"
"IMF.STA:CPI(5.0.0)","SGP.CPI._T.IX.A","OBS_VALUE","Singapore","Consumer price index (CPI)","All Items","Index","Annual","Units","85.08358333333335","85.45691666666668","85.94216666666668","85.79425","87.78133333333335","93.16316666666665","97.66641666666665","100.0001666666666","100.9031666666667"
"IMF.STA:CPI(5.0.0)","MWI.CPI._T.IX.A","OBS_VALUE","Malawi","Consumer price index (CPI)","All Items","Index","Annual","Units","63.29847576665038","71.16025919710055","77.82857042352585","84.54168520348722","92.42954626460198","111.7972054104344","143.9833333333334","190.3166666666667","244.309993225108"
"IMF.STA:CPI(5.0.0)","MAR.CPI._T.IX.A","OBS_VALUE","Morocco","Consumer price index (CPI)","All Items","Index","Annual","Units","99.64004400440042","101.437467409461","101.7452145214522","102.463503850385","103.9","110.8166666666667","117.5666666666667","118.725","119.5583333333333"
"IMF.STA:CPI(5.0.0)","SLE.CPI._T.IX.A","OBS_VALUE","Sierra Leone","Consumer price index (CPI)","All Items","Index","Annual","Units","55.28333333333335","64.14499999999998","73.64166666666668","83.54416666666668","93.46416666666665","118.8941666666667","175.538763882859","225.8020946886448","242.7090302906132"
"IMF.STA:CPI(5.0.0)","ARM.CPI._T.IX.A","OBS_VALUE","Armenia, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","123.675205998157","126.7921103666974","128.6222867826256","130.1804631836869","139.5337163507703","151.5907007208483","154.5928314208298","155.0094776190388","160.1355378242194"
"IMF.STA:CPI(5.0.0)","GBR.CPI._T.IX.A","OBS_VALUE","United Kingdom","Consumer price index (CPI)","All Items","Index","Annual","Units","103.5833333333333","105.9583333333333","107.8","108.8666666666667","111.6083333333334","120.45","128.6333333333333","132.8416666666667","138"
"IMF.STA:CPI(5.0.0)","CAN.CPI._T.IX.A","OBS_VALUE","Canada","Consumer price index (CPI)","All Items","Index","Annual","Units","130.425","133.3833333333334","135.9833333333334","136.9583333333333","141.6083333333333","151.2416666666666","157.1083333333334","160.85","164.1833333333333"
"IMF.STA:CPI(5.0.0)","NZL.CPI._T.IX.A","OBS_VALUE","New Zealand","Consumer price index (CPI)","All Items","Index","Annual","Units","100.27235","101.875","103.525","105.3","109.45","117.3","124.025","127.65","131.275"
"IMF.STA:CPI(5.0.0)","ZAF.CPI._T.IX.A","OBS_VALUE","South Africa","Consumer price index (CPI)","All Items","Index","Annual","Units","71.325","74.54166666666668","77.6","80.10833333333332","83.80833333333335","89.70833333333332","95.15833333333332","99.30833333333335","102.4916666666666"
"IMF.STA:CPI(5.0.0)","CHL.CPI._T.IX.A","OBS_VALUE","Chile","Consumer price index (CPI)","All Items","Index","Annual","Units","73.31839676966045","75.10361894404882","77.0244276126946","79.37019950639695","82.96135845846308","92.62126845904788","99.6435189741263","103.9258376225564","108.3041666666667"
"IMF.STA:CPI(5.0.0)","SAU.CPI._T.IX.A","OBS_VALUE","Saudi Arabia","Consumer price index (CPI)","All Items","Index","Annual","Units","88.27371339486225","90.45049293056375","89.37143081016502","92.385347908653","95.21537893044008","97.57107759724592","99.8416396875167","101.5268878141087","103.6429198761136"
"IMF.STA:CPI(5.0.0)","SLV.CPI._T.IX.A","OBS_VALUE","El Salvador","Consumer price index (CPI)","All Items","Index","Annual","Units","111.1479356113828","112.359814904202","112.444448962869","112.0266163962212","115.9104961224495","124.2544478229342","129.2812198374132","130.385","130.7208333333334"
"IMF.STA:CPI(5.0.0)","MRT.CPI._T.IX.A","OBS_VALUE","Mauritania, Islamic Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","94.85425345999398","97.76377485153628","100.0124322230829","102.3984237025562","106.0490963077718","116.1505551252259","121.9035505966551","124.9409524606702","126.875"
"IMF.STA:CPI(5.0.0)","ZMB.CPI._T.IX.A","OBS_VALUE","Zambia","Consumer price index (CPI)","All Items","Index","Annual","Units","195.7416666666666","210.4116666666667","229.665","265.7983333333332","324.3291666666668","359.9833333333332","399.1658333333332","458.9833333333332","522.8275"
"IMF.STA:CPI(5.0.0)","GAB.CPI._T.IX.A","OBS_VALUE","Gabon","Consumer price index (CPI)","All Items","Index","Annual","Units","93.86920958093872","98.3271207865169","100.75045910959","102.1133721353","103.22325","107.5908816833496","111.4953712860741","112.8033457676566","114.7973322592162"
"IMF.STA:CPI(5.0.0)","HTI.CPI._T.IX.A","OBS_VALUE","Haiti","Consumer price index (CPI)","All Items","Index","Annual","Units","92.04634933894272","103.5350326181662","122.9","150.9166666666667","176.3333333333333","236.2583333333334","323.2333333333332","410.3416666666665","527.875"
"IMF.STA:CPI(5.0.0)","BHR.CPI._T.IX.A","OBS_VALUE","Bahrain, Kingdom of","Consumer price index (CPI)","All Items","Index","Annual","Units","96.88133442415548","98.90389637831915","99.89869159537748","97.58333333333332","96.99166666666668","100.5083333333333","100.5833333333334","101.5083333333334","101.3685473693158"
"IMF.STA:CPI(5.0.0)","OMN.CPI._T.IX.A","OBS_VALUE","Oman","Consumer price index (CPI)","All Items","Index","Annual","Units","99.1029272898961","99.98426188227888","100.475","100.0666666666667","101.75","104.3","105.2916666666667","105.9166666666666","106.9416666666667"
"IMF.STA:CPI(5.0.0)","MOZ.CPI._T.IX.A","OBS_VALUE","Mozambique, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","71.3535425866482","74.14441824339228","76.22246613661488","78.87800782666142","83.93288644537282","92.56068509327152","99.1574618143089","103.2016666666667","107.71"
"IMF.STA:CPI(5.0.0)","KAZ.CPI._T.IX.A","OBS_VALUE","Kazakhstan, Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","52.13302910852408","55.3463330611724","58.29826349025735","62.2148309306914","67.2178187293891","77.31922141031252","88.55181752413282","96.24769797421732","107.2083333333333"
"IMF.STA:CPI(5.0.0)","JPN.CPI._T.IX.A","OBS_VALUE","Japan","Consumer price index (CPI)","All Items","Index","Annual","Units","98.575","99.55","100.0166666666667","99.99166666666668","99.75833333333332","102.25","105.5916666666666","108.4833333333334","111.925"
"IMF.STA:CPI(5.0.0)","CRI.CPI._T.IX.A","OBS_VALUE","Costa Rica","Consumer price index (CPI)","All Items","Index","Annual","Units","94.46458333333335","96.56275","98.58675","99.30141666666665","101.0158333333334","109.3746661573761","109.9490948041898","109.4951666666666","109.4145"
"IMF.STA:CPI(5.0.0)","HKG.CPI._T.IX.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Consumer price index (CPI)","All Items","Index","Annual","Units","94.55","96.82499999999998","99.61666666666668","99.86666666666668","101.4333333333333","103.3416666666667","105.5083333333333","107.3333333333333","108.875"
"IMF.STA:CPI(5.0.0)","RUS.CPI._T.IX.A","OBS_VALUE","Russian Federation","Consumer price index (CPI)","All Items","Index","Annual","Units","168.1716666666667","173.012175","180.749325","186.862625","199.3720666666666","226.773125","240.075","260.325","283.025"
"IMF.STA:CPI(5.0.0)","TLS.CPI._T.IX.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","97.38253667770942","99.95000000000002","100.9083333333333","101.4083333333333","105.1583333333334","112.525","122","124.5166666666667","125.05"
"IMF.STA:CPI(5.0.0)","LAO.CPI._T.IX.A","OBS_VALUE","Lao People's Democratic Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","102.1412139055509","104.2252957460073","107.6882424947426","113.1847286052132","117.4355173245788","144.3942759911432","189.4888021216911","233.3186413697763","251.3827990646355"
"IMF.STA:CPI(5.0.0)","TTO.CPI._T.IX.A","OBS_VALUE","Trinidad and Tobago","Consumer price index (CPI)","All Items","Index","Annual","Units","106.3583333333333","107.4416666666666","108.5166666666667","109.1666666666666","111.414656653827","117.9083333333333","123.3666666666667","124.0166666666667","125.25"
"IMF.STA:CPI(5.0.0)","MAC.CPI._T.IX.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Consumer price index (CPI)","All Items","Index","Annual","Units","92.44475196332928","95.2222202683413","97.84266988636678","98.63657559454872","98.66266927398952","99.6937218168327","100.1686472508422","100.8422800000955","101.178399095"
"IMF.STA:CPI(5.0.0)","IRN.CPI._T.IX.A","OBS_VALUE","Iran, Islamic Republic of","Consumer price index (CPI)","All Items","Index","Annual","Units","29.66243990528405","35.00586693151902","48.97577921757708","63.9594972067038","91.71089385474842","131.5945530726256","190.2583333333334","252.0083333333332","358.2833333333332"
"IMF.STA:CPI(5.0.0)","TCD.CPI._T.IX.A","OBS_VALUE","Chad","Consumer price index (CPI)","All Items","Index","Annual","Units","81.6429237168306","85.13285008412955","84.30541056301082","88.06892580422802","87.3882900691143","92.44634778692038","102.464163918644","111.582969689663","107.2178648438317"
"IMF.STA:CPI(5.0.0)","COM.CPI._T.IX.A","OBS_VALUE","Comoros, Union of the","Consumer price index (CPI)","All Items","Index","Annual","Units","106.125","108.4083333333333","112.2916666666666","113.175","113.17","127.3525","138.0166666666667","144.9891666666667","149.7"
"IMF.STA:CPI(5.0.0)","LBR.CPI._T.IX.A","OBS_VALUE","Liberia","Consumer price index (CPI)","All Items","Index","Annual","Units","72.2570341641881","89.28333117242218","113.3597206960388","132.580682234045","142.9426498924011","153.7962636652232","169.3211560880059","183.2308456995018","198.467669232506"
"IMF.STA:CPI(5.0.0)","KGZ.CPI._T.IX.A","OBS_VALUE","Kyrgyz Republic","Consumer price index (CPI)","All Items","Index","Annual","Units","253.3271432654015","257.2351234529832","260.1511988889038","276.606862562933","309.5370196917942","352.6335782473198","390.5532438582232","410.0715601591612","443.7587753473675"
"IMF.STA:CPI(5.0.0)","WSM.CPI._T.IX.A","OBS_VALUE","Samoa","Consumer price index (CPI)","All Items","Index","Annual","Units","102.8963604414065","107.2153928667809","108.2685981579212","106.5699586123058","109.9090135981652","121.9571102275048","131.6181218060804","134.4774666757872","137.4520572400498"
"IMF.STA:CPI(5.0.0)","ECU.CPI._T.IX.A","OBS_VALUE","Ecuador","Consumer price index (CPI)","All Items","Index","Annual","Units","105.442522541418","105.2062224257326","105.4860841444342","105.1286209272738","105.2687062718434","108.9174982955168","111.3307698456298","113.0534188539908","113.8566287157998"
"IMF.STA:CPI(5.0.0)","SUR.CPI._T.IX.A","OBS_VALUE","Suriname","Consumer price index (CPI)","All Items","Index","Annual","Units","125.975","","140.6333333333333","189.7","301.85","460.1583333333335","697.5416666666665","810.75","885.3833333333335"
